,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic,None
0,:_Buffer1::_Pudge::_Buffer2:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,first,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,TRICKLE IN!!!!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,hi bruh,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,dang so few watching,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,skr skr,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,FIRM HANDSHAKES CC,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,l,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,hello,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,:_Pumpkin:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,You ioiooo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,Yeeeeeeeeet,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,first 10,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,YAYAYAYAYYA,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,LESSSSGOO!!!!!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,:_Yaya::_Yaya::_Yaya:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,"Doc if you can read this, can I get a RRRRAAAULLLLLL?",0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,yayaya,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,Sup,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,Yesss,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,Yeeeeaaaaaahhhhh,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,Pogggg,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,doctor doctor doctor doctor,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,yooooo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,first,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,gandu,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,yayayaya,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,DOC!!!!!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,hello,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,Labvakar,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,:_Buffer1::_Yaya::_Buffer2:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,Dooooc,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,lolololol,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,yayayayayya,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,i am forst,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35,BO2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,hi,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,Hi,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,RAULLLLLL,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,Yeah,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,BABY BABY BABY,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,dooooooooooc,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,NEW AMD GPU BOIIIIIIIIIII,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,whats up,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,Hi!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45,black ops 2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,Slice em up,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,OH SNAP,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,YOOO,0.0,0.0,0.0,0.0,0.0,0.0,1.0
49,Yes daddy,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,Yoo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,YOOO,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,YOO,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,yaya,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54,Let’s gooooo bo 2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
55,bo3 baby let's go,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,lets !!! gooooo!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57,let sss gooooo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
58,Bo2?,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59,YOO,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,Black Ops II?,0.0,0.0,0.0,0.0,0.0,0.0,1.0
61,Bo2 nice,0.0,0.0,0.0,0.0,0.0,0.0,1.0
62,Hi,0.0,0.0,0.0,0.0,0.0,0.0,1.0
63,Hi,0.0,0.0,0.0,0.0,0.0,0.0,1.0
64,YOO,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65,YES,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66,BO2!??,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67,BO2????,0.0,0.0,0.0,0.0,0.0,0.0,1.0
68,POG,0.0,0.0,0.0,0.0,0.0,0.0,1.0
69,TWO TIME!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70,Yayayayayata,0.0,0.0,0.0,0.0,0.0,0.0,1.0
71,Letsssssss gooooooo doc,0.0,0.0,0.0,0.0,0.0,0.0,1.0
72,trickle in...,0.0,0.0,0.0,0.0,0.0,0.0,1.0
73,hypeee,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74,boomer,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75,ger,0.0,0.0,0.0,0.0,0.0,0.0,1.0
76,It's time to go back,0.0,0.0,0.0,0.0,0.0,0.0,1.0
77,hi,0.0,0.0,0.0,0.0,0.0,0.0,1.0
78,yayayayayaya,0.0,0.0,0.0,0.0,0.0,0.0,1.0
